"GEOID","NAMELSAD"
"2430653","Red Valley Chapter"
"2430665","Rock Point Chapter"
"2430675","Rough Rock Chapter"
"2430325","Indian Wells Chapter"
"2430355","Kayenta Chapter"
"2430602","Piñon Chapter"
"2430832","Teesto Chapter"
"2430937","Whippoorwill Chapter"
"2430942","White Cone Chapter"
"1505070","Burro Springs District"
"1505140","Five Houses District"
"2430092","Cañoncito Chapter"
"1110100","Arlee District"
"1110250","Dixon District"
"2810630","Porcupine District"
"2430141","Cove Chapter"
"2430155","Crystal Chapter"
"3935150","Crow Hill District"
"3970800","Wakpala District"
"2810800","Wakpamni District"
"4290850","Spee-Bi-Dah"
"5550235","Flute Springs"
"5550240","Gideon"
"5550245","Grandview"
"5550250","Greasy"
"3100700","Redby District"
"3100750","Red Lake District"
"5550255","Gregory"
"3970550","Porcupine District"
"3970200","Fort Yates District"
"3970100","Cannonball District"
"3970300","Kenel District"
"3235670","Swift Bear Segment"
"1160450","Parshall Segment"
"5550415","Oaks Community"
"5550420","Old Eucha"
"5550425","Old Green"
"5550435","Park Hill"
"5550440","Peavine"
"5550445","Peggs Community"
"5550450","Pettit"
"5550463","Pin Oak Acres"
"5550453","Piney"
"5550458","Pinhook Corner"
"5550470","Proctor"
"5550475","Pump Back"
"5550480","Redbird Smith"
"5550485","Remy"
"5550155","Craig Non-Community"
"5550165","Delaware Non-Community"
"5550353","Mayes Non-Community"
"5550333","McIntosh Non-Community"
"5550380","Muskogee Non-Community"
"5550405","Nowata Non-Community"
"5550430","Ottawa Non-Community"
"5550505","Rogers Non-Community"
"5550540","Sequoyah Non-Community"
"5550640","Tulsa Non-Community"
"5550660","Wagoner Non-Community"
"5550030","Akins"
"3235420","Parmelee Segment"
"3235520","Rosebud Segment"
"3235540","St. Francis Segment"
"3235600","Soldier Creek Segment"
"3235650","Spring Creek Segment"
"5550575","Sparrowhawk"
"5550580","Sportsmen Acres Community"
"5550585","Steely Hollow"
"5550590","Stoney Point"
"5550595","Sycamore"
"5550600","Sycamore Springs"
"5550605","Tagg Flats"
"5550610","Taylor"
"5550615","Tenkiller"
"5550620","Teresita"
"5550630","Tiawah"
"2430530","Nenahnezad/San Juan Chapter"
"2430540","Newcomb Chapter"
"2430730","Sheep Springs Chapter"
"2430735","Shiprock Chapter"
"2430710","Sawmill Chapter"
"2430815","Steamboat Chapter"
"2430820","Sweetwater Chapter"
"2430825","Tachee Chapter"
"2430830","Teec Nos Pos Chapter"
"2430860","Tsaile-Wheatfields Chapter"
"2430865","Tselani Chapter"
"2430960","Wide Ruins Chapter"
"1160650","Twin Buttes Segment"
"0605500","District 5"
"0605600","District 6"
"2810850","White Clay District"
"2810870","Wounded Knee District"
"1160600","Shell Creek Segment"
"5550625","Texanna"
"1150400","Hays District"
"1150550","Lodge Pole District"
"0855100","Big Bend District"
"5550665","Washington Non-Community"
"2430160","Dennehotso Chapter"
"2430260","Fort Defiance Chapter"
"2430280","Ganado Chapter"
"2430290","Greasewood Chapter"
"2430862","Tsayatoh Chapter"
"2430880","Twin Lakes Chapter"
"5550180","Dotyville"
"5550185","Dripping Springs"
"5550190","Drowning Creek"
"5550195","Dry Creek"
"5590075","County District 1"
"3340100","District A"
"2430695","San Juan Southern Paiute Southern Area"
"5550260","Indianola"
"1505160","Hardrock District"
